epoch,train_loss,dev_loss,test_loss
1,1.207659691049342,0.6212729546758864,0.595446266233921
2,0.5542269040618027,0.5326477819018893,0.49381742998957634
3,0.4856793169389691,0.48900633056958515,0.4492710120975971
4,0.44319843357069455,0.4665615227487352,0.4212880916893482
5,0.4141528841696287,0.44512314266628694,0.40275099501013756
6,0.39458051899023217,0.4266569912433624,0.3836942967027426
7,0.3728630477399157,0.41138255927297807,0.3693834003061056
8,0.3553205137712914,0.40111208955446875,0.35748784244060516
9,0.34040114126707377,0.3858720494641198,0.3413026016205549
10,0.32499393036490976,0.37555959158473545,0.3282103333622217
11,0.31014704913423774,0.36643442842695445,0.3161775767803192
12,0.2990840843372177,0.35310344563590157,0.3079328741878271
13,0.2912357912251824,0.3433765437867906,0.29964680038392544
14,0.27623355205644634,0.33490780658192104,0.2852432057261467
15,0.26023621857166296,0.321227866742346,0.27246129512786865
16,0.24861358550556925,0.3163747141758601,0.2614297289401293
17,0.24064129538703377,0.30681852168507046,0.25771790742874146
18,0.23135399426284592,0.30638405515087974,0.25546219013631344
19,0.22200277918263478,0.29519668718179065,0.2403036542236805
20,0.21291346325163243,0.2866101629204221,0.23395648039877415
21,0.20577940240240933,0.2848470773961809,0.23244156129658222
22,0.19677791901324923,0.2802277654409409,0.22657758742570877
23,0.1901796728111149,0.27277548611164093,0.21957943961024284
24,0.18225788285857752,0.2674011223846012,0.21292119659483433
25,0.17980360095961054,0.26470567451583016,0.215125422924757
26,0.17058502490583224,0.26299914552105796,0.21554816141724586
27,0.16753951630048586,0.25473334888617194,0.20771833881735802
28,0.1571421634994055,0.25268036623795825,0.20157130807638168
29,0.1517065072007346,0.25412170754538643,0.2065501855686307
30,0.1490397219333732,0.25736445519659257,0.20542473439127207
31,0.1426783096894883,0.25068795018725926,0.20268622413277626
32,0.13701666381798286,0.2515451196167204,0.20446991734206676
33,0.13460665549102577,0.25540895263353985,0.21275483816862106
34,0.13407039942971447,0.24417334794998172,0.19730566442012787
35,0.12330404381480134,0.2608588917387856,0.2221124116331339
36,0.12412773125004346,0.24852944082683986,0.19688968546688557
37,0.11602404922769782,0.2434769239690569,0.1984526813030243
38,0.11092908053021687,0.2423631184630924,0.19650891330093145
39,0.1073832451774363,0.24341878460513222,0.20173663087189198
40,0.10662518310965152,0.24121966130203673,0.20118382014334202
41,0.10113590021143877,0.2543890459669961,0.2092238301411271
42,0.09827185735890742,0.2419068780210283,0.19815246015787125
43,0.09495554785979422,0.2454924898015128,0.20575215015560389
44,0.09265858346694393,0.2557619909445445,0.21389473602175713
45,0.09174985242517374,0.2643099013302061,0.22555221244692802
46,0.09046162357717229,0.2446073028776381,0.2019259724766016
47,0.07979545304388332,0.24531895584530297,0.20225879922509193
48,0.07578948296998676,0.24788930515448254,0.2058363314718008
49,0.0738502240233254,0.24588544501198664,0.20882502757012844
50,0.07336864169490966,0.2513168371385998,0.2091207168996334
51,0.07184076296132909,0.2523496117856767,0.20768181048333645
52,0.07029547810293081,0.2534729176097446,0.2101043537259102
53,0.06761634885741953,0.2483117745982276,0.20903409458696842
54,0.06623521323005359,0.25122624138991034,0.20815671607851982
55,0.06596695487959343,0.2512724465794033,0.20916074514389038
56,0.06594510879694368,0.2515982538461685,0.2111169956624508
57,0.06466334456937356,0.2534707056151496,0.21073390170931816
58,0.06366259438034734,0.2543786449564828,0.21046245656907558
59,0.06389406146971803,0.2530265831285053,0.2115761898458004
60,0.06334142288879344,0.2529198063744439,0.21139930188655853
61,0.06278797422061885,0.25357165932655334,0.21119394525885582
62,0.061735418804904865,0.25378676917817855,0.212575051933527
63,0.06104332211901223,0.2545960495869319,0.21203192882239819
64,0.06121598706956495,0.25607431266042924,0.2122345007956028
65,0.06024167948124702,0.25504010087913936,0.21231900341808796
66,0.06028255650348832,0.2556145207749473,0.2132770922034979
67,0.061041428658523085,0.25504803823100197,0.21320387348532677
68,0.06065317112625691,0.25614630182584125,0.21326352655887604
69,0.05999254043165007,0.2553204662270016,0.2136274389922619
70,0.05983922545585717,0.25570309493276805,0.21372587978839874
71,0.059236453029147366,0.2557123584879769,0.21367564983665943
72,0.059309840267687514,0.25579093231095207,0.21361427381634712
73,0.05949457440721362,0.25576523111926186,0.2136827204376459
74,0.05977948023038996,0.25557207895649803,0.2137800958007574
75,0.05887537573774656,0.25542839533752865,0.2140840794891119
76,0.05896566592549024,0.25599197877777946,0.21398411504924297
77,0.058986306778694465,0.25596383213996887,0.21398583985865116
78,0.05915619475407558,0.25593357284863794,0.21399434842169285
79,0.05894777191835538,0.2558046513133579,0.21407078951597214
80,0.05907221560023333,0.2558410300148858,0.21406272053718567
81,0.05938941390629401,0.2558529774347941,0.21410252340137959
82,0.05943430123621957,0.256014539135827,0.21410608477890491
83,0.0585521362525852,0.255874902009964,0.2141481153666973
84,0.05878847837448121,0.25609184636010063,0.21416070125997066
85,0.05870588705466505,0.2560087723864449,0.21422612108290195
86,0.0590327738277745,0.2559920301040014,0.21428734995424747
87,0.059273242885083455,0.25606314175658756,0.2142973095178604
88,0.05847631329507159,0.256042233771748,0.21422218903899193
89,0.058510735042785346,0.2561229450835122,0.2142060361802578
90,0.05908407718596752,0.25613609949747723,0.21426034159958363
91,0.058606480493357274,0.2561131517092387,0.21424615196883678
92,0.05877863870639549,0.2560976843039195,0.214290926232934
93,0.058344794469967216,0.25613921384016675,0.21431203372776508
94,0.05834141478203891,0.25614185631275177,0.21431969478726387
95,0.05842569097876548,0.25616811050309074,0.2143168654292822
96,0.058917778037619176,0.2561611814631356,0.21433835662901402
97,0.05827167091008862,0.25614364114072585,0.2143284771591425
98,0.05865948032914547,0.2561539345317417,0.21434246562421322
99,0.05870169093995765,0.2561779287126329,0.2143472507596016
100,0.059036200473967335,0.256178210179011,0.2143522258847952
